a,b,corr,n,halflife_h,spread_std_bps
AAOI,LRCX,0.6631534097234624,310,118.66514075182954,1308.5900764066869
DRAM,MRVL,0.6631297592644085,499,147.980291398901,647.5783220416909
EWT,SAMSUNG,0.6623072813686521,433,168.35892562092232,472.278335590633
CIEN,CRDO,0.6622397124882731,310,57.43016459552578,489.1821822279244
ASML,MU,0.6621066611394991,377,123.13002636602253,516.3562204167814
IREN,SOXL,0.6613994725388093,425,163.53236168718828,1114.9672041080264
EWY,HYUNDAI,0.6613259233566178,433,238.84243913945218,423.4403488607041
AMD,STXX,0.6610421793789105,377,164.20115731405164,749.1374785114537
SKHY,TQQQ,0.6602612004966021,202,101.26818070147381,509.5038006840073
CIEN,GEV,0.6600989059740443,203,94.17181023953464,385.3953395152218
NVDA,TQQQ,0.6600462200783817,268,173.04711074978667,426.59723559515766
CIEN,SNDK,0.6599044454627431,310,160.14516543217275,634.6657851982659
AAOI,CIEN,0.6598008662424465,310,79.55050791874179,1273.3948339923909
ASML,TER,0.6595943066649846,251,120.17464482656644,428.50533647522207
GEV,SOXL,0.6595540104524005,203,76.73272401198007,289.3296977283584
FLEX,MVLL,0.6594226488919877,251,137.66598515843435,1026.878441806333
IWM,SPY,0.6592971473656059,395,72.47007183855446,56.703526707943254
GLW,INTW,0.6585527415923612,208,26.546151009125033,206.3317935124136
DELL,SNXX,0.6580093670040004,208,193.1219517459708,1138.747699584075
FLEX,MRVL,0.6576729249756896,251,64.26518047320242,339.4280116112057
EWJ,EWY,0.6570220612171838,499,320.7992001946043,462.39787535007673
AAOI,QQQ,0.6566367222191073,395,180.6166637520285,1669.8004298400065
INTW,SKHYNIX,0.6566231389349616,208,71.21111217903555,556.7923215360195
CRWV,INTW,0.6565811753318249,208,119.34863514605821,678.9008108124889
AXTI,MVLL,0.6559611578708087,268,314.7903780125935,977.2854259133583
ALAB,MU,0.6558211896071034,310,131.06747231269034,972.4042582159863
INTC,LRCX,0.6556349752626116,310,39.315097486175944,341.55099264706695
EWY,LRCX,0.6554678230613125,310,38.79384154870754,249.93481695367538
BE,SKHY,0.6552856165141587,202,78.5786390575737,286.3342951703981
SKHYNIX,TQQQ,0.6550801851773925,268,186.01177657288545,616.1514023411293
INTW,NBIS,0.6546540673181502,208,89.16310072746978,1028.2218213697477
AMAT,QQQ,0.6542960707888013,395,120.5513155656313,421.7266352548459
GLW,LRCX,0.653890300325477,310,102.36635140046458,743.2494854646941
LITE,MRVL,0.6536643994865984,499,240.53909945506646,1115.2324214955684
MRVL,STXX,0.6532482039863207,377,168.21379474550952,950.1031113401658
CIEN,LRCX,0.653118045205777,310,47.89155136333378,225.56601413226355
TER,TSM,0.6528319585348176,251,77.32255094233712,313.3333563295839
ASML,SNDK,0.6524016188172131,377,500.1758610129065,843.9052423535952
IREN,SNXX,0.6522417519790419,208,191.58115811900694,1213.4988629344302
GEV,SNDK,0.6519105965118651,203,97.67780827058257,358.92701092232903
AMAT,GEV,0.6518656957855864,203,45.904392810596,189.40758660303166
AMD,LITE,0.6515738136057623,499,187.1804498667698,1120.5815762781115
CIEN,STXX,0.6513688031222556,310,67.77137177804455,669.9233088211321
CRDO,LITE,0.6504699722171775,395,92.87985681881354,731.8176379705975
AAOI,TER,0.6503507126897673,251,127.97687404845195,1285.7681304398202
ALAB,DRAM,0.65021225422499,310,85.57158945222699,816.4425506213698
ALAB,CIEN,0.6496493213302056,310,110.91104919389345,622.170606606638
FLEX,STXX,0.649517918175941,251,70.2692956546351,536.1906958762831
GEV,SNXX,0.6494563002203636,203,126.34986157559453,983.4121436920141
COHR,LRCX,0.6490790720901739,310,119.21069065778657,1093.983773027472
AAOI,ALAB,0.6488564959651714,310,159.52603280304436,934.177526706402
EWY,WDC,0.6488186487643604,472,167.9110342621708,769.5179912313113
ARM,SNXX,0.6486508688109355,208,150.10082316860584,1358.9328228465963
IREN,MU,0.6486229210684714,425,201.42251221090834,1001.7093138922517
IREN,ONDS,0.6485965881999528,425,335.1973100130344,494.43961849326377
GEV,STXX,0.648526747136865,203,65.57458628033667,165.71573592365024
FLEX,VRT,0.6480173651873391,203,65.43377918376937,147.44003192084284
AMAT,CRDO,0.6478916428823625,395,116.34808415760854,646.8751291473085
EWT,SKHYNIX,0.647774078741009,433,482.33599285378773,590.3258996046537
SAMSUNG,TSM,0.6477611410635095,433,152.2830488558603,468.5339361824415
