symbol,underlyingType,fundingTime,fundingRate,markPrice
TSLAUSDT,EQUITY,1784563200001,0.00000000,374.33000000
TSLAUSDT,EQUITY,1784592000001,0.00032423,370.85000000
TSLAUSDT,EQUITY,1784620800001,0.00027142,374.31000000
TSLAUSDT,EQUITY,1784649600000,0.00000000,381.08000000
TSLAUSDT,EQUITY,1784678400000,0.00000000,379.70000000
TSLAUSDT,EQUITY,1784707200001,0.00000000,377.34000000
INTCUSDT,EQUITY,1779465600001,0.00018513,121.07365285
INTCUSDT,EQUITY,1779494400001,0.00061383,118.32000000
INTCUSDT,EQUITY,1779523200001,0.00000000,117.52000000
INTCUSDT,EQUITY,1779552000001,0.00054098,119.05000000
INTCUSDT,EQUITY,1779580800001,0.00084493,122.27429975
INTCUSDT,EQUITY,1779609600001,0.00000000,122.63113794
INTCUSDT,EQUITY,1779638400001,0.00000000,122.30000000
INTCUSDT,EQUITY,1779667200001,0.00000000,122.24002752
INTCUSDT,EQUITY,1779696000001,0.00000000,123.20016655
INTCUSDT,EQUITY,1779724800001,0.00000000,124.05000000
INTCUSDT,EQUITY,1779753600001,0.00000000,123.35327036
INTCUSDT,EQUITY,1779782400001,0.00053287,121.83000000
INTCUSDT,EQUITY,1779811200001,0.00021374,121.23000000
INTCUSDT,EQUITY,1779840000001,0.00000000,123.21000000
INTCUSDT,EQUITY,1779868800001,0.00000000,122.42513532
INTCUSDT,EQUITY,1779897600001,0.00028792,118.69000000
INTCUSDT,EQUITY,1779926400001,0.00000000,119.67880718
INTCUSDT,EQUITY,1779955200001,0.00000000,119.01929050
INTCUSDT,EQUITY,1779984000001,0.00026228,120.78797387
